Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

139.031,   6.1264E-008,   3.5526E-006,   9.8315E-012,   2.1759E-011,   1.9273E-011,   2.8338E-009,   1.5483E-009,   7.5977E-013,   4.5372E-012,   6.3252E-012,  
145.078,   6.2145E-008,   3.5512E-006,   3.3229E-011,   2.1500E-011,   1.8568E-011,   2.7669E-009,   1.4779E-009,   4.5747E-013,   7.6655E-012,   8.4654E-012,  
151.078,   6.1778E-008,   3.5484E-006,   3.2414E-011,   2.1574E-011,   1.9599E-011,   3.0939E-009,   1.6007E-009,   7.0627E-013,   4.4338E-012,   6.2208E-012,  
157.140,   6.3821E-008,   3.5367E-006,   3.0905E-011,   2.1532E-011,   1.8326E-011,   3.0506E-009,   1.6414E-009,   5.4397E-013,   8.3058E-012,   6.8870E-012,  
163.203,   6.0412E-008,   3.5350E-006,   1.4291E-011,   2.1403E-011,   1.9779E-011,   2.6856E-009,   1.8898E-009,   5.6715E-013,   4.8422E-012,   7.8456E-012,  
169.219,   6.4453E-008,   3.5341E-006,   7.5299E-012,   2.1543E-011,   1.9496E-011,   2.9169E-009,   1.4110E-009,   3.6651E-013,   4.7967E-012,   6.8290E-012,  
175.281,   5.9321E-008,   3.5243E-006,   3.2121E-011,   2.1843E-011,   1.8523E-011,   2.8934E-009,   1.6314E-009,   4.2626E-013,   4.7744E-012,   7.0306E-012,  
181.328,   6.5761E-008,   3.5203E-006,   1.0642E-011,   2.1153E-011,   1.9293E-011,   3.1120E-009,   1.3713E-009,   3.1746E-013,   9.3990E-012,   8.0953E-012,  
187.375,   5.8790E-008,   3.5267E-006,   1.0690E-011,   2.1736E-011,   1.8609E-011,   2.8925E-009,   1.5574E-009,   9.8092E-013,   4.6300E-012,   6.3047E-012,  
193.422,   6.2211E-008,   3.4889E-006,   3.4125E-011,   2.2335E-011,   1.9505E-011,   2.6829E-009,   1.4309E-009,   7.1162E-013,   4.3740E-012,   9.4258E-013,  
199.484,   6.0855E-008,   3.5178E-006,   3.2852E-011,   2.1876E-011,   1.9102E-011,   2.6983E-009,   1.5041E-009,   7.8741E-013,   4.2626E-012,   8.5109E-012,  
205.500,   6.2040E-008,   3.4959E-006,   3.2208E-011,   2.1776E-011,   1.8589E-011,   2.8157E-009,   1.3550E-009,   7.1607E-013,   4.8181E-012,   7.5478E-012,  
211.531,   5.8472E-008,   3.4828E-006,   3.3240E-011,   2.1446E-011,   1.9141E-011,   2.9413E-009,   1.4842E-009,   4.1734E-013,   4.4213E-012,   6.2021E-012,  
217.562,   6.4234E-008,   3.5146E-006,   3.2677E-011,   1.9897E-011,   1.8284E-011,   2.9955E-009,   1.4679E-009,   4.0753E-013,   4.6273E-012,   7.8634E-012,  
223.594,   6.0723E-008,   3.5166E-006,   3.3505E-011,   2.1446E-011,   1.8840E-011,   2.6594E-009,   1.5709E-009,   4.1199E-013,   4.8404E-012,   7.2535E-012,  
229.640,   6.2344E-008,   3.5143E-006,   3.3120E-011,   2.2546E-011,   1.8600E-011,   2.7706E-009,   1.4508E-009,   6.0015E-013,   9.3446E-012,   5.7518E-013,  
235.672,   6.3734E-008,   3.5222E-006,   3.2636E-011,   2.5220E-011,   1.8346E-011,   2.7191E-009,   1.4643E-009,   7.9187E-013,   7.5683E-012,   8.3281E-012,  
241.703,   6.4119E-008,   3.5075E-006,   3.1634E-011,   3.3999E-011,   1.8685E-011,   2.5375E-009,   1.4706E-009,   4.3696E-013,   4.6282E-012,   6.9672E-012,  
247.781,   5.9708E-008,   3.5188E-006,   3.1000E-011,   4.6023E-011,   1.8802E-011,   2.9277E-009,   1.6152E-009,   8.6767E-013,   9.5087E-012,   7.2999E-012,  
253.797,   6.4410E-008,   3.5132E-006,   4.1903E-011,   4.2613E-011,   1.7155E-011,   2.6558E-009,   1.7588E-009,   6.4465E-012,   4.7174E-012,   7.7939E-012,  
259.781,   6.0394E-008,   3.5105E-006,   3.4978E-011,   3.5284E-011,   1.9241E-011,   2.5971E-009,   1.6820E-009,   6.2066E-013,   4.6924E-012,   5.6849E-012,  
265.781,   6.0241E-008,   3.4991E-006,   3.2048E-011,   2.6433E-011,   1.8070E-011,   2.8482E-009,   1.6079E-009,   7.3391E-013,   4.6175E-012,   6.0461E-012,  
271.859,   6.1952E-008,   3.4925E-006,   3.0474E-011,   2.2126E-011,   1.6221E-011,   2.7380E-009,   1.4074E-009,   6.1977E-013,   4.5390E-012,   6.8165E-012,  
277.890,   6.2043E-008,   3.4987E-006,   3.2599E-011,   2.0000E-011,   1.8662E-011,   2.5339E-009,   1.4779E-009,   4.7263E-013,   4.3437E-012,   6.6997E-012,  
283.922,   6.2613E-008,   3.4857E-006,   3.2064E-011,   1.8366E-011,   1.7882E-011,   2.8762E-009,   1.2385E-009,   5.6537E-013,   4.3375E-012,   6.4652E-013,  
289.937,   6.4977E-008,   3.5011E-006,   1.0377E-011,   1.8855E-011,   1.8599E-011,   2.7109E-009,   1.3677E-009,   7.9009E-013,   7.3846E-012,   6.5356E-012,  
295.969,   6.2605E-008,   3.4869E-006,   3.3185E-011,   1.9469E-011,   1.8813E-011,   2.9178E-009,   1.5772E-009,   7.1518E-013,   4.3152E-012,   7.3641E-012,  
301.984,   6.2693E-008,   3.4908E-006,   2.9831E-011,   1.8818E-011,   1.8202E-011,   3.0054E-009,   1.4580E-009,   6.1531E-013,   4.2251E-012,   6.1103E-012,  
307.984,   6.0183E-008,   3.5094E-006,   3.2071E-011,   1.8756E-011,   1.8890E-011,   3.1454E-009,   1.7218E-009,   4.0307E-013,   4.3348E-012,   6.0835E-012,  
314.047,   6.2201E-008,   3.4608E-006,   3.0932E-011,   1.8828E-011,   1.8687E-011,   2.9151E-009,   1.6350E-009,   3.9861E-013,   4.7147E-012,   7.5085E-012,  
320.094,   6.0473E-008,   3.4669E-006,   3.2816E-011,   1.9609E-011,   1.8402E-011,   2.8889E-009,   1.5285E-009,   5.8766E-013,   5.4415E-012,   6.1664E-012,  
326.125,   5.9623E-008,   3.4914E-006,   2.9938E-011,   1.8276E-011,   1.8638E-011,   2.8862E-009,   1.7787E-009,   6.0728E-013,   8.3896E-012,   6.7559E-012,  
332.187,   5.8609E-008,   3.4848E-006,   7.6343E-012,   1.7888E-011,   1.8336E-011,   2.7995E-009,   1.4173E-009,   1.2484E-014,   9.3304E-012,   1.3635E-012,  
