	 p1 	 p1_ 	Kr1 [%]	H2_1 [%] 	Kr in	total in	Kr_ [%]	Kr_ in	 p2 	 p2_ 	Kr2 [%]	H2_2 [%] 	Kr out	total out	Kr2_ [%]	Kr_ out	recovery in %	recovery_ in %	difference in %
Replica 5	0.042	0.0022	0.295	0.535	0.48431625	1.64175	0.544854881	0.894515501	0.045	0.0015	0.258	0.489	0.46294875	1.794375	0.444171176	0.797009653	95.58811004	89.09959101	-6.488519029
	0.402	0.0011	0.148	0.444	1.014004388	6.851381	0.238929889	1.636999704	0.4965		0.64	0.219	13.1076	20.480625	0.787900106	16.1366866	1292.657128	985.7476798	-306.9094483
Replica 10	0.091	0.0015	0.752	0.162	2.77629	3.691875	0.873258129	3.223959854	0.086	0.001	0.511	0.296	1.79169375	3.50625	0.684724349	2.400814749	64.53554024	74.46788601	9.932345779
Replica 6	0.1495	0.0015	0.774	0.152	4.72527	6.105	0.889947438	5.433129106	0.1308	0.0012	0.643	0.156	3.437478	5.346	0.74224934	3.968064974	72.74670019	73.03461589	0.2879157
Replica 9	0.1643	0.0015	0.824	0.136	5.533572	6.7155	0.932729625	6.263745796	0.15	0.001	0.552	0.278	3.39273	6.14625	0.72468117	4.454071643	61.31175306	71.10875486	9.797001802
Replica 2	0.513		0.411	0.345	8.69727375	21.16125	0.58356998	12.34907023	0.4605	0.0015	0.715	0.034	13.53763125	18.93375	0.736462625	13.94399923	155.6537329	112.9153771	-42.73835573
Replica 7	0.288	0.002	0.772	0.119	9.10767	11.7975	0.859688196	10.14217149	0.209	0.0017	0.611	0.097	5.224737375	8.551125	0.66640698	5.69852939	57.3663448	56.1864823	-1.179862498
Replica 8	0.293	0.0023	0.824	0.112	9.880893	11.991375	0.911504425	10.93019137	0.279	0.0017	0.799	0.075	9.139461375	11.438625	0.85389313	9.767363302	92.49630954	89.36132012	-3.134989423
Replica 4	0.749	0.006	0.517	0.348	15.84540375	30.64875	0.736767101	22.58099069	0.5309	0.0011	0.729	0.056	15.93174825	21.85425	0.765756303	16.73502967	100.5449183	74.11114024	-26.43377803
Replica 1	0.774	0.003	0.633	0.039	20.13177375	31.80375	0.654892108	20.82802487	0.549	0.0012	0.819	0.051	18.50673825	22.59675	0.856438602	19.35272897	91.92800634	92.91677486	0.988768518
Replica 3	0.67	0.0048	0.821	0.048	22.5278295	27.4395	0.856227652	23.49445866	0.6227	0.0012	0.836	0.042	21.4324275	25.636875	0.867219917	22.23280861	95.13756086	94.63001015	-0.50755071
