Aug 04, 2026  11:35:40 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 04, 2026  11:35:40 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   7.6105E-008,   3.9992E-006,   2.0254E-011,   2.1345E-011,   2.0583E-011,   3.1057E-009,   2.8202E-009,   5.9747E-013,   5.0723E-012,   8.2933E-013,  
5.610,   7.5132E-008,   3.9608E-006,   3.3684E-011,   2.1632E-011,   2.0506E-011,   3.3442E-009,   2.6350E-009,   2.5415E-013,   9.4169E-012,   1.1084E-012,  
11.672,   7.1539E-008,   3.8576E-006,   3.3553E-011,   2.0275E-011,   1.9447E-011,   3.0334E-009,   2.5799E-009,   9.1494E-013,   7.5718E-012,   7.8474E-013,  
17.688,   7.0044E-008,   3.8207E-006,   3.1519E-011,   2.0483E-011,   1.9767E-011,   2.7778E-009,   2.7218E-009,   8.8551E-013,   7.0243E-012,   6.8665E-013,  
23.703,   6.7286E-008,   3.7924E-006,   3.2775E-011,   1.9907E-011,   1.8848E-011,   3.0488E-009,   2.5619E-009,   6.1263E-013,   7.2169E-012,   7.0181E-013,  
29.782,   6.9274E-008,   3.7971E-006,   3.3858E-011,   2.0181E-011,   1.7710E-011,   2.9892E-009,   2.4860E-009,   5.8855E-013,   8.6562E-012,   7.5442E-013,  
35.766,   7.2338E-008,   3.7719E-006,   3.2889E-011,   1.9328E-011,   1.8744E-011,   3.1545E-009,   2.6748E-009,   4.7441E-013,   8.0026E-012,   7.2856E-013,  
41.844,   7.1762E-008,   3.7875E-006,   7.6922E-012,   1.9000E-011,   1.9373E-011,   2.9512E-009,   2.6450E-009,   7.7850E-013,   6.9592E-012,   6.8397E-013,  
47.860,   6.6276E-008,   3.7584E-006,   3.1166E-011,   1.9717E-011,   1.8951E-011,   3.0416E-009,   2.8058E-009,   9.6844E-013,   5.6608E-012,   8.2041E-013,  
53.938,   6.5544E-008,   3.6976E-006,   6.0345E-012,   1.9146E-011,   1.9184E-011,   3.0903E-009,   2.7425E-009,   7.1607E-013,   8.3200E-012,   6.7951E-013,  
59.985,   6.9659E-008,   3.7001E-006,   3.0545E-011,   2.0219E-011,   1.9283E-011,   3.2394E-009,   2.6387E-009,   3.6116E-013,   6.5374E-012,   6.8308E-013,  
66.016,   6.9997E-008,   3.6543E-006,   3.1375E-011,   1.9041E-011,   1.8669E-011,   3.3604E-009,   2.6802E-009,   7.3213E-013,   7.5273E-012,   3.0052E-013,  
72.047,   6.6393E-008,   3.6570E-006,   3.2542E-011,   1.9166E-011,   1.8492E-011,   3.2827E-009,   2.4435E-009,   4.1823E-013,   6.4304E-012,   5.3951E-013,  
78.078,   6.5861E-008,   3.6419E-006,   3.3497E-011,   1.8851E-011,   1.6653E-011,   3.2258E-009,   2.7218E-009,   3.5402E-013,   6.8094E-012,   4.9135E-013,  
84.078,   6.5530E-008,   3.6404E-006,   3.3214E-011,   1.9396E-011,   1.9772E-011,   2.9187E-009,   2.7118E-009,   3.5135E-013,   4.2670E-012,   8.5786E-013,  
90.141,   6.7786E-008,   3.6500E-006,   3.2352E-011,   1.8920E-011,   1.8880E-011,   2.9106E-009,   2.6098E-009,   3.2371E-013,   7.9901E-012,   9.4169E-013,  
96.203,   6.8381E-008,   3.6371E-006,   8.0908E-012,   1.9541E-011,   2.8419E-011,   3.1084E-009,   3.2502E-009,   5.6359E-013,   4.5551E-012,   7.7404E-013,  
102.250,   6.5654E-008,   3.5962E-006,   3.3246E-011,   1.8807E-011,   1.3677E-010,   3.1084E-009,   3.3135E-009,   8.3824E-013,   4.4748E-012,   8.0257E-013,  
108.282,   6.2387E-008,   3.5915E-006,   3.1797E-011,   1.8352E-011,   2.2681E-010,   2.8753E-009,   3.0379E-009,   7.2767E-013,   4.0521E-012,   7.0002E-013,  
114.344,   6.6762E-008,   3.5902E-006,   5.3933E-012,   1.9062E-011,   1.4015E-010,   3.0551E-009,   2.6495E-009,   8.2130E-013,   7.0814E-012,   7.6869E-013,  
120.375,   6.4757E-008,   3.5716E-006,   3.2965E-011,   1.9248E-011,   6.4317E-011,   2.9584E-009,   2.5068E-009,   6.0996E-013,   8.5323E-012,   4.7709E-013,  
126.485,   6.5453E-008,   3.5406E-006,   7.8679E-012,   1.8854E-011,   3.2774E-011,   3.2791E-009,   2.5763E-009,   6.8754E-013,   4.8511E-012,   1.1941E-012,  
132.516,   6.0736E-008,   3.5186E-006,   3.2103E-011,   1.8679E-011,   1.9378E-011,   2.9883E-009,   2.5772E-009,   6.9021E-013,   9.1654E-012,   5.2881E-013,  
138.547,   6.1505E-008,   3.5132E-006,   9.7950E-012,   1.8873E-011,   2.0284E-011,   3.0108E-009,   2.3586E-009,   6.7327E-013,   8.1310E-012,   3.7364E-013,  
144.578,   6.3350E-008,   3.4970E-006,   3.2778E-011,   1.8646E-011,   1.9732E-011,   3.1716E-009,   2.7118E-009,   9.9787E-013,   4.3179E-012,   8.8105E-013,  
150.578,   6.1155E-008,   3.4427E-006,   3.3271E-011,   1.8862E-011,   1.9437E-011,   2.7353E-009,   2.1743E-009,   1.0879E-013,   6.6462E-012,   8.3370E-012,  
156.578,   6.2145E-008,   3.4385E-006,   3.1348E-011,   1.8443E-011,   1.7987E-011,   3.0063E-009,   2.2656E-009,   2.0243E-013,   4.7923E-012,   7.5442E-013,  
162.672,   6.2281E-008,   3.3853E-006,   3.0301E-011,   1.8063E-011,   1.8970E-011,   2.9603E-009,   2.2728E-009,   2.9784E-013,   7.1777E-012,   5.5110E-013,  
168.719,   5.7318E-008,   3.3936E-006,   3.1893E-011,   1.8337E-011,   1.9127E-011,   2.9205E-009,   2.2150E-009,   6.7505E-013,   8.5421E-012,   1.0737E-012,  
174.750,   6.1365E-008,   3.3867E-006,   3.1494E-011,   1.8688E-011,   1.5286E-011,   3.3098E-009,   2.4110E-009,   3.4689E-013,   4.3562E-012,   9.9430E-013,  
