Aug 18, 2026  11:00:07 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 18, 2026  11:00:07 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

137.656,   1.0392E-007,   3.1847E-006,   4.9961E-011,   1.9812E-011,   2.0812E-011,   3.2710E-009,   2.9024E-009,   3.1390E-013,   5.5654E-012,   5.3327E-013,  
143.609,   1.0658E-007,   3.2200E-006,   5.3468E-011,   1.9421E-011,   2.1468E-011,   2.9458E-009,   2.9097E-009,   4.3785E-013,   6.0461E-012,   7.0537E-013,  
149.593,   1.0189E-007,   3.1927E-006,   5.2714E-011,   1.9058E-011,   2.0981E-011,   3.1292E-009,   2.6721E-009,   2.7912E-013,   6.3582E-012,   4.6728E-013,  
155.609,   1.0336E-007,   3.1874E-006,   5.3262E-011,   1.9197E-011,   2.1680E-011,   3.1310E-009,   2.9693E-009,   2.5326E-013,   5.8062E-012,   6.2779E-013,  
161.609,   1.0362E-007,   3.1835E-006,   2.0821E-011,   1.9719E-011,   2.1324E-011,   3.3035E-009,   2.5592E-009,   3.8524E-013,   6.0898E-012,   4.0129E-013,  
167.593,   1.0599E-007,   3.1879E-006,   5.4866E-011,   1.8861E-011,   2.1213E-011,   3.1536E-009,   2.7877E-009,   1.4000E-013,   5.8731E-012,   2.7377E-013,  
173.593,   1.0250E-007,   3.1811E-006,   5.4403E-011,   1.9191E-011,   2.0990E-011,   3.3668E-009,   2.8500E-009,   2.8536E-013,   6.0345E-012,   3.5313E-013,  
179.593,   1.0367E-007,   3.1836E-006,   5.3960E-011,   1.9094E-011,   2.0283E-011,   2.8790E-009,   3.1780E-009,   3.6829E-013,   6.7925E-012,   6.3582E-013,  
185.609,   9.8136E-008,   3.1699E-006,   5.3892E-011,   1.9464E-011,   2.0738E-011,   2.9919E-009,   2.8220E-009,   5.5110E-013,   6.1540E-012,   4.4855E-013,  
191.578,   1.0127E-007,   3.1781E-006,   5.1157E-011,   1.9309E-011,   2.1132E-011,   3.1463E-009,   3.1852E-009,   5.4486E-013,   5.6938E-012,   7.9277E-013,  
197.656,   1.0102E-007,   3.1826E-006,   5.0235E-011,   1.9176E-011,   2.0636E-011,   3.1021E-009,   2.5438E-009,   5.2167E-013,   6.2387E-012,   7.7850E-013,  
203.656,   9.9497E-008,   3.1711E-006,   4.9769E-011,   1.8861E-011,   2.1320E-011,   3.0741E-009,   2.9901E-009,   4.8868E-013,   6.3707E-012,   4.6906E-013,  
209.640,   1.0567E-007,   3.1738E-006,   5.2344E-011,   1.8762E-011,   2.0915E-011,   2.8934E-009,   2.7001E-009,   4.4855E-013,   6.2137E-012,   4.7441E-013,  
215.640,   9.9273E-008,   3.1753E-006,   5.1685E-011,   1.8639E-011,   2.1109E-011,   3.1716E-009,   2.7173E-009,   4.4498E-013,   5.4959E-012,   5.7964E-013,  
221.671,   1.0255E-007,   3.1851E-006,   5.1853E-011,   1.9366E-011,   2.1054E-011,   3.1608E-009,   2.7353E-009,   6.6257E-013,   6.1406E-012,   3.7899E-013,  
227.671,   9.8042E-008,   3.1756E-006,   2.0170E-011,   1.9219E-011,   2.0515E-011,   3.1942E-009,   2.7669E-009,   4.6193E-013,   6.2592E-012,   4.5568E-013,  
233.687,   1.0252E-007,   3.1675E-006,   4.9239E-011,   1.9040E-011,   2.1095E-011,   3.2963E-009,   3.0334E-009,   3.4957E-013,   6.2993E-012,   8.4003E-013,  
239.671,   1.0041E-007,   3.1912E-006,   5.1021E-011,   1.8297E-011,   2.0771E-011,   3.1373E-009,   2.6495E-009,   8.2219E-013,   5.7883E-012,   3.8880E-013,  
245.687,   9.9915E-008,   3.1747E-006,   4.9689E-011,   1.8966E-011,   2.0640E-011,   2.8862E-009,   2.7136E-009,   6.9289E-013,   6.1950E-012,   5.1543E-013,  
251.671,   9.9678E-008,   3.1788E-006,   4.9769E-011,   2.0461E-011,   2.0190E-011,   3.1192E-009,   2.8220E-009,   1.1860E-013,   5.6680E-012,   2.8804E-013,  
257.687,   9.9389E-008,   3.1791E-006,   4.7770E-011,   2.7711E-011,   2.1010E-011,   3.4002E-009,   2.7660E-009,   4.1377E-013,   6.3163E-012,   6.5900E-013,  
263.671,   9.0822E-008,   3.1830E-006,   4.9320E-011,   5.6821E-011,   2.0475E-011,   3.2421E-009,   2.8049E-009,   3.5224E-013,   5.6974E-012,   6.2333E-013,  
269.687,   1.0038E-007,   3.1638E-006,   4.7162E-011,   1.0110E-010,   2.1296E-011,   3.3126E-009,   2.4697E-009,   7.6690E-013,   5.9105E-012,   3.2727E-013,  
275.687,   1.0042E-007,   3.1693E-006,   5.1612E-011,   1.1602E-010,   2.1054E-011,   3.1075E-009,   2.7733E-009,   1.4000E-013,   5.7215E-012,   4.0842E-013,  
281.671,   1.0295E-007,   3.1859E-006,   4.9104E-011,   9.3570E-011,   2.0439E-011,   3.2069E-009,   2.9024E-009,   3.1211E-013,   8.3548E-012,   2.5326E-013,  
287.687,   9.9140E-008,   3.1852E-006,   5.0794E-011,   5.6656E-011,   1.9981E-011,   3.5104E-009,   2.9449E-009,   1.0255E-013,   6.1459E-012,   5.9123E-013,  
293.687,   9.9573E-008,   3.1781E-006,   5.0058E-011,   3.6436E-011,   2.1069E-011,   3.2186E-009,   2.7001E-009,   2.4256E-013,   5.6555E-012,   4.3339E-013,  
299.687,   9.4061E-008,   3.1787E-006,   4.7998E-011,   2.5829E-011,   2.0670E-011,   3.2078E-009,   2.8365E-009,   2.6931E-013,   5.7152E-012,   4.9670E-013,  
305.671,   9.6531E-008,   3.1605E-006,   4.8088E-011,   2.0976E-011,   2.0902E-011,   3.1554E-009,   2.6965E-009,   2.7109E-013,   6.3671E-012,   6.2066E-013,  
311.703,   9.4631E-008,   3.1689E-006,   4.8260E-011,   1.9678E-011,   2.0779E-011,   2.9539E-009,   2.5131E-009,   4.3696E-013,   5.5369E-012,   5.6002E-013,  
317.671,   9.4205E-008,   3.1809E-006,   4.8574E-011,   1.8815E-011,   1.9885E-011,   3.0343E-009,   2.5474E-009,   5.6002E-013,   6.0407E-012,   1.8459E-013,  
323.687,   9.6370E-008,   3.1683E-006,   1.9374E-011,   1.8031E-011,   2.0497E-011,   3.1852E-009,   2.5908E-009,   6.2779E-013,   5.8445E-012,   6.1352E-013,  
329.671,   9.5221E-008,   3.1765E-006,   4.8311E-011,   1.8099E-011,   2.0297E-011,   3.0614E-009,   2.6920E-009,   3.9237E-013,   8.5911E-012,   3.7632E-013,  
335.687,   9.6586E-008,   3.1744E-006,   4.8855E-011,   1.7696E-011,   1.9738E-011,   3.0614E-009,   2.8193E-009,   3.9326E-013,   5.9096E-012,   5.5824E-013,  
341.687,   9.2178E-008,   3.1746E-006,   4.7357E-011,   1.8573E-011,   1.9806E-011,   3.2042E-009,   2.7453E-009,   4.4677E-013,   5.8757E-012,   4.6193E-013,  
347.734,   9.5641E-008,   3.1813E-006,   4.7351E-011,   1.7938E-011,   2.0362E-011,   3.3595E-009,   2.7353E-009,   3.7899E-013,   5.6457E-012,   7.6512E-013,  
353.718,   9.4784E-008,   3.1870E-006,   5.0146E-011,   1.7709E-011,   1.9800E-011,   3.1156E-009,   2.7389E-009,   1.9529E-013,   5.4076E-012,   4.5658E-013,  
359.718,   9.6538E-008,   3.1959E-006,   4.4974E-011,   1.8104E-011,   1.9954E-011,   3.4164E-009,   2.7841E-009,   5.0027E-013,   5.8338E-012,   3.3351E-013,  
365.734,   9.7083E-008,   3.1951E-006,   4.6770E-011,   1.7534E-011,   1.9764E-011,   3.4137E-009,   2.8049E-009,   6.8665E-013,   5.9801E-012,   3.1568E-013,  
371.734,   9.6122E-008,   3.2050E-006,   4.7505E-011,   1.6946E-011,   2.0118E-011,   3.0732E-009,   2.8853E-009,   4.6371E-013,   5.9319E-012,   2.9874E-013,  
377.718,   9.7427E-008,   3.1989E-006,   4.7574E-011,   1.8842E-011,   1.9930E-011,   3.0930E-009,   2.5646E-009,   2.9071E-013,   5.5003E-012,   4.8065E-013,  
383.718,   9.5444E-008,   3.1881E-006,   4.6970E-011,   1.7987E-011,   2.0198E-011,   3.3911E-009,   2.7353E-009,   6.3760E-013,   5.4388E-012,   6.1709E-013,  
389.734,   9.6789E-008,   3.1843E-006,   4.5860E-011,   1.8255E-011,   1.9439E-011,   3.2403E-009,   2.7597E-009,   1.1593E-014,   5.3817E-012,   4.2358E-013,  
395.718,   9.6129E-008,   3.1955E-006,   4.4137E-011,   1.7722E-011,   1.7736E-011,   2.8753E-009,   2.7913E-009,   2.4166E-013,   5.1730E-012,   2.2561E-013,  
401.734,   1.0010E-007,   3.2030E-006,   4.6682E-011,   1.8251E-011,   1.9913E-011,   3.0262E-009,   2.5176E-009,   6.6525E-013,   5.4111E-012,   2.8714E-013,  
407.734,   9.7413E-008,   3.2144E-006,   4.7081E-011,   1.7491E-011,   1.9727E-011,   3.0163E-009,   2.7525E-009,   3.4778E-013,   5.1231E-012,   2.6574E-013,  
413.718,   9.7231E-008,   3.2211E-006,   4.6727E-011,   1.7755E-011,   2.0074E-011,   3.3595E-009,   2.7173E-009,   9.4525E-014,   8.7686E-012,   2.8358E-013,  
419.718,   9.5712E-008,   3.1965E-006,   1.5958E-011,   1.7839E-011,   1.9888E-011,   3.3541E-009,   2.6305E-009,   9.6220E-013,   5.8258E-012,   3.3886E-013,  
425.734,   9.3354E-008,   3.1961E-006,   4.5795E-011,   1.8196E-011,   1.9789E-011,   3.1581E-009,   2.5682E-009,   6.6168E-013,   5.9266E-012,   3.2995E-013,  
431.718,   9.5158E-008,   3.2065E-006,   4.5686E-011,   1.7853E-011,   2.0301E-011,   3.3424E-009,   2.7073E-009,   4.4587E-013,   5.6671E-012,   6.0996E-013,  
437.718,   9.5210E-008,   3.2122E-006,   4.3421E-011,   1.8018E-011,   1.9661E-011,   3.2529E-009,   2.8925E-009,   6.1263E-013,   5.1632E-012,   3.8969E-013,  
443.718,   9.1352E-008,   3.2189E-006,   4.4627E-011,   1.7366E-011,   1.9608E-011,   3.2060E-009,   2.8049E-009,   6.0817E-013,   5.6920E-012,   3.9237E-014,  
449.734,   9.5384E-008,   3.1931E-006,   1.7492E-011,   1.7243E-011,   1.9258E-011,   3.2033E-009,   2.9133E-009,   4.1288E-013,   5.0767E-012,   5.9747E-013,  
455.734,   9.5422E-008,   3.2129E-006,   4.4522E-011,   1.7833E-011,   1.9789E-011,   3.4643E-009,   2.7733E-009,   3.0141E-013,   5.3888E-012,   3.6027E-013,  
461.734,   9.7182E-008,   3.2370E-006,   4.1625E-011,   1.7891E-011,   2.0041E-011,   3.1716E-009,   2.6829E-009,   3.4511E-013,   5.4004E-012,   3.4422E-013,  
467.718,   9.3681E-008,   3.2251E-006,   4.4431E-011,   1.8111E-011,   2.0060E-011,   3.1897E-009,   2.7706E-009,   1.2930E-013,   5.8838E-012,   1.7835E-013,  
473.718,   9.4099E-008,   3.2225E-006,   4.4548E-011,   1.7823E-011,   2.0345E-011,   3.2466E-009,   2.6685E-009,   5.2435E-013,   5.4441E-012,   4.4766E-013,  
479.718,   9.6394E-008,   3.2090E-006,   4.4761E-011,   1.7693E-011,   1.9142E-011,   3.1183E-009,   2.7317E-009,   6.3849E-013,   5.5743E-012,   3.5938E-013,  
485.718,   9.3655E-008,   3.2157E-006,   4.5770E-011,   1.7365E-011,   1.9404E-011,   3.2710E-009,   2.6649E-009,  -4.2804E-014,   5.4468E-012,   3.3441E-013,  
491.734,   9.4584E-008,   3.2051E-006,   4.4695E-011,   1.8024E-011,   1.9518E-011,   3.3207E-009,   3.0434E-009,   4.7263E-013,   5.2970E-012,   3.5670E-013,  
497.718,   9.0514E-008,   3.1971E-006,   4.5050E-011,   1.8003E-011,   1.9725E-011,   3.2945E-009,   2.3749E-009,   4.2626E-013,   5.2881E-012,   8.5519E-013,  
503.718,   9.2934E-008,   3.2301E-006,   4.4562E-011,   1.8185E-011,   1.9239E-011,   3.2999E-009,   2.6965E-009,   1.8013E-013,   9.2858E-012,   6.1620E-013,  
509.734,   9.2278E-008,   3.2340E-006,   1.7454E-011,   1.7904E-011,   1.9931E-011,   3.4625E-009,   2.6929E-009,   3.6562E-013,   7.7217E-012,   4.2001E-013,  
515.734,   9.7250E-008,   3.1944E-006,   4.2339E-011,   1.7429E-011,   1.9961E-011,   3.5745E-009,   2.5664E-009,   6.4473E-013,   5.5083E-012,   1.5873E-013,  
521.718,   9.2936E-008,   3.2263E-006,   4.1804E-011,   1.7995E-011,   1.9767E-011,   3.4743E-009,   2.3333E-009,   4.9760E-013,   5.3924E-012,   5.6804E-013,  
527.734,   9.3122E-008,   3.2157E-006,   1.3935E-011,   1.6809E-011,   1.8793E-011,   3.3848E-009,   2.9657E-009,   3.6205E-013,   4.9679E-012,   3.6829E-013,  
533.718,   9.1250E-008,   3.2154E-006,   4.5948E-011,   1.7103E-011,   2.0319E-011,   3.2177E-009,   2.6929E-009,   6.7238E-013,   5.0009E-012,  -8.9175E-015,  
539.718,   9.4018E-008,   3.2078E-006,   1.6675E-011,   1.7966E-011,   1.9810E-011,   3.3911E-009,   2.6251E-009,   3.3619E-013,   5.2346E-012,   4.7174E-013,  
545.718,   9.2561E-008,   3.2243E-006,   4.5613E-011,   1.7270E-011,   1.9552E-011,   3.2683E-009,   2.7055E-009,  -7.1340E-015,   8.3209E-012,  -7.3123E-014,  
