Aug 20, 2026  11:15:01 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 20, 2026  11:15:01 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          CO2                   1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

137.641,   8.4036E-008,   2.9698E-006,   4.2578E-011,   1.8685E-011,   1.9869E-011,   3.2005E-009,   2.0063E-009,   7.7493E-013,   7.5558E-012,   5.1365E-013,  
143.641,   8.3845E-008,   2.9598E-006,   4.3583E-011,   1.7786E-011,   1.9535E-011,   3.2367E-009,   2.1897E-009,   5.7340E-013,   5.0411E-012,   6.3760E-013,  
149.625,   8.2863E-008,   2.9607E-006,   4.6263E-011,   1.7862E-011,   2.0511E-011,   3.1762E-009,   2.1454E-009,   5.9747E-013,   1.0470E-011,   6.2512E-013,  
155.625,   8.2692E-008,   2.9586E-006,   4.5548E-011,   1.8163E-011,   2.0761E-011,   3.2105E-009,   1.9548E-009,   1.1414E-012,   6.0345E-012,   6.7149E-013,  
161.625,   8.4059E-008,   2.9468E-006,   4.5963E-011,   1.7000E-011,   2.0816E-011,   3.0208E-009,   1.9684E-009,   8.2398E-013,   9.2439E-012,   7.2874E-012,  
167.641,   8.4753E-008,   2.9455E-006,   4.5487E-011,   1.7842E-011,   1.9314E-011,   3.1996E-009,   2.1897E-009,   4.1734E-013,   6.3359E-012,   5.1900E-013,  
173.641,   8.3427E-008,   2.9538E-006,   1.5862E-011,   1.7617E-011,   2.0055E-011,   3.1762E-009,   1.8600E-009,   1.2395E-013,   5.0946E-012,   6.5989E-013,  
179.641,   8.3677E-008,   2.9421E-006,   1.7975E-011,   1.7092E-011,   1.9918E-011,   2.9774E-009,   1.9512E-009,   6.9021E-013,   7.6619E-012,   4.3072E-013,  
185.656,   7.9920E-008,   2.9533E-006,   1.6439E-011,   1.6455E-011,   1.9603E-011,   3.0235E-009,   1.8970E-009,   5.2613E-013,   6.9271E-012,   4.4944E-013,  
191.641,   8.3559E-008,   2.9495E-006,   1.9137E-011,   1.7763E-011,   2.0329E-011,   3.1906E-009,   1.8934E-009,   3.0855E-013,   5.1204E-012,   9.4525E-013,  
197.641,   8.3206E-008,   2.9681E-006,   4.5323E-011,   1.7394E-011,   2.0007E-011,   3.0488E-009,   1.9919E-009,   6.5454E-013,   5.2658E-012,   2.7020E-013,  
203.625,   8.3718E-008,   2.9442E-006,   4.4493E-011,   1.8517E-011,   1.9343E-011,   3.1752E-009,   1.8058E-009,   6.0015E-013,   7.0671E-012,   3.4600E-013,  
209.641,   8.2883E-008,   2.9492E-006,   4.1445E-011,   1.7324E-011,   2.0722E-011,   3.2575E-009,   1.9892E-009,   3.3441E-013,   8.5385E-012,   4.7798E-013,  
215.641,   8.3252E-008,   2.9344E-006,   4.5136E-011,   1.7154E-011,   2.0822E-011,   3.2331E-009,   1.9648E-009,   4.3874E-013,   8.3869E-012,   5.6644E-012,  
221.641,   8.1928E-008,   2.9583E-006,   4.3915E-011,   1.7592E-011,   1.9761E-011,   3.2448E-009,   2.0804E-009,   4.2715E-013,   8.5019E-012,   7.4907E-013,  
227.656,   7.6836E-008,   2.9214E-006,   4.4714E-011,   1.7707E-011,   2.0554E-011,   3.0659E-009,   1.7995E-009,   4.7709E-013,   7.5183E-012,   6.5544E-013,  
233.656,   8.0152E-008,   2.9215E-006,   1.9491E-011,   1.7272E-011,   1.9890E-011,   3.1518E-009,   1.9711E-009,   1.6141E-013,   4.4168E-012,   3.8969E-013,  
239.641,   7.8921E-008,   2.9271E-006,   4.2200E-011,   1.7213E-011,   2.0818E-011,   3.1680E-009,   2.2412E-009,   4.9225E-013,   6.8870E-012,   6.2333E-013,  
245.641,   7.9742E-008,   2.9397E-006,   4.3152E-011,   1.7098E-011,   2.0294E-011,   3.2132E-009,   1.9377E-009,   3.2460E-013,   6.8754E-012,   5.4129E-013,  
251.625,   8.2125E-008,   2.9369E-006,   4.1325E-011,   1.7562E-011,   2.0229E-011,   3.0379E-009,   2.3225E-009,   3.4511E-013,   4.6103E-012,   5.5288E-013,  
257.656,   7.9230E-008,   2.9324E-006,   4.2041E-011,   1.8148E-011,   2.0058E-011,   3.4354E-009,   1.9241E-009,   4.1734E-013,   7.0475E-012,   3.7186E-013,  
263.641,   8.0936E-008,   2.9296E-006,   4.1404E-011,   1.9714E-011,   1.9880E-011,   3.2809E-009,   1.9413E-009,   6.1085E-013,   6.1673E-012,   9.0513E-013,  
269.656,   7.5753E-008,   2.9083E-006,   1.6873E-011,   2.2397E-011,   1.9109E-011,   3.0650E-009,   1.8293E-009,   2.9517E-013,   8.1461E-012,   6.6346E-013,  
275.641,   7.7986E-008,   2.9183E-006,   4.1176E-011,   2.2120E-011,   2.0214E-011,   3.3505E-009,   1.7624E-009,   2.3899E-013,   4.7388E-012,   4.9403E-013,  
281.641,   7.8869E-008,   2.9128E-006,   4.1562E-011,   2.1356E-011,   2.0778E-011,   3.1888E-009,   1.7326E-009,   2.7733E-013,   8.9246E-012,   9.0067E-013,  
287.641,   7.6017E-008,   2.8974E-006,   1.9881E-011,   1.9991E-011,   1.9547E-011,   3.0307E-009,   1.9476E-009,   2.8001E-013,   8.7169E-012,   5.5556E-013,  
293.641,   7.6824E-008,   2.9094E-006,   2.4275E-011,   1.8265E-011,   2.0622E-011,   3.1924E-009,   2.1789E-009,   4.5212E-013,   8.3245E-012,   6.5187E-013,  
299.641,   7.7061E-008,   2.9313E-006,   4.3759E-011,   1.6976E-011,   2.0303E-011,   3.0560E-009,   1.9169E-009,   8.7035E-013,   4.3526E-012,   5.7340E-013,  
305.625,   7.8456E-008,   2.9185E-006,   1.6392E-011,   1.8043E-011,   1.9454E-011,   3.3379E-009,   2.0262E-009,   1.4803E-013,   5.8071E-012,   6.1798E-013,  
311.641,   7.6529E-008,   2.9230E-006,   1.7553E-011,   1.6672E-011,   1.9855E-011,   3.2033E-009,   1.8636E-009,   8.5875E-013,   4.7102E-012,   5.5288E-013,  
317.625,   7.5801E-008,   2.8897E-006,   4.2765E-011,   1.6907E-011,   2.0559E-011,   2.7335E-009,   1.8636E-009,   5.8320E-013,   4.5381E-012,   5.0562E-013,  
323.641,   7.3463E-008,   2.9054E-006,   4.1475E-011,   1.6748E-011,   2.0669E-011,   3.2132E-009,   1.7317E-009,   4.6817E-013,   5.8365E-012,   5.6091E-013,  
329.641,   7.7552E-008,   2.8981E-006,   1.7908E-011,   1.6578E-011,   2.0094E-011,   2.9106E-009,   1.8365E-009,   2.0064E-013,   8.4449E-012,   5.9836E-013,  
335.641,   7.4062E-008,   2.9049E-006,   4.0732E-011,   1.6719E-011,   2.0360E-011,   3.2060E-009,   1.9991E-009,   3.6383E-013,   5.7750E-012,   6.4028E-013,  
341.625,   7.5364E-008,   2.9082E-006,   4.3016E-011,   1.5170E-011,   1.9499E-011,   3.4210E-009,   1.8193E-009,   2.8090E-013,   5.2774E-012,   4.2982E-013,  
347.641,   7.3512E-008,   2.9017E-006,   4.1304E-011,   1.6749E-011,   1.9550E-011,   2.9548E-009,   1.8392E-009,   4.2804E-013,   7.4693E-012,   4.7530E-013,  
353.641,   7.0396E-008,   2.9111E-006,   3.7966E-011,   1.6084E-011,   1.8877E-011,   3.2846E-009,   2.0190E-009,   1.5249E-013,   4.5693E-012,   6.8665E-013,  
359.656,   7.7765E-008,   2.9081E-006,   3.8823E-011,   1.7569E-011,   1.9765E-011,   3.2665E-009,   1.8094E-009,   7.8117E-013,   7.9928E-012,   5.7072E-013,  
365.641,   7.3482E-008,   2.8765E-006,   3.8365E-011,   1.6793E-011,   1.9841E-011,   2.9910E-009,   1.9964E-009,   3.4778E-013,   4.4703E-012,   4.8511E-013,  
371.656,   7.5608E-008,   2.9007E-006,   3.9119E-011,   1.6892E-011,   1.9178E-011,   2.9539E-009,   1.7290E-009,   8.1952E-013,   6.9922E-012,   6.1352E-013,  
377.656,   7.0029E-008,   2.9038E-006,   1.5213E-011,   1.6204E-011,   1.8990E-011,   3.0334E-009,   1.5772E-009,   2.4791E-013,   7.6414E-012,   4.2893E-013,  
383.625,   7.0003E-008,   2.8840E-006,   3.9875E-011,   1.7504E-011,   1.9986E-011,   3.1319E-009,   1.7317E-009,   2.7198E-013,   4.4570E-012,   6.3938E-013,  
389.641,   7.2408E-008,   2.8834E-006,   3.9843E-011,   1.6032E-011,   1.9970E-011,   3.1120E-009,   1.8338E-009,   7.8206E-013,   6.2039E-012,   5.1186E-013,  
395.641,   7.1062E-008,   2.8965E-006,   3.9091E-011,   1.6562E-011,   1.8992E-011,   3.0768E-009,   1.7588E-009,   9.1315E-013,   8.5706E-012,   5.8142E-013,  
401.641,   6.7565E-008,   2.8911E-006,   1.0951E-012,   1.6752E-011,   2.0219E-011,   3.4020E-009,   1.7317E-009,   4.4677E-013,   6.4777E-012,   6.5989E-013,  
407.641,   7.2052E-008,   2.8959E-006,   3.8727E-011,   1.6408E-011,   2.0169E-011,   2.9666E-009,   1.7082E-009,   3.0141E-013,   5.1463E-012,   6.3403E-013,  
413.641,   7.1085E-008,   2.8927E-006,   3.9446E-011,   1.6480E-011,   1.9115E-011,   3.3026E-009,   1.7317E-009,   4.6549E-013,   8.0837E-012,   5.5913E-013,  
419.641,   7.2893E-008,   2.8639E-006,   3.9393E-011,   1.6402E-011,   2.0458E-011,   2.9846E-009,   1.8365E-009,   1.0211E-012,   5.9221E-012,   1.0585E-012,  
425.641,   7.3270E-008,   2.8887E-006,   1.5505E-011,   1.5907E-011,   1.9851E-011,   3.1500E-009,   1.6649E-009,   4.2536E-013,   5.0705E-012,   6.7773E-013,  
431.641,   7.1963E-008,   2.8825E-006,   3.9342E-011,   1.6469E-011,   1.9830E-011,   2.9639E-009,   1.8808E-009,   7.0270E-013,   7.7074E-012,   2.5326E-013,  
437.656,   7.4128E-008,   2.8898E-006,   3.9010E-011,   1.6987E-011,   1.9948E-011,   3.1138E-009,   1.6378E-009,   5.8320E-013,   6.6730E-012,   6.3760E-013,  
443.641,   7.2566E-008,   2.8743E-006,   3.6562E-011,   1.6165E-011,   1.8910E-011,   2.8193E-009,   1.9304E-009,   5.2702E-013,   4.4579E-012,   7.8741E-013,  
449.672,   7.2623E-008,   2.8704E-006,   1.4616E-011,   1.6539E-011,   1.9727E-011,   3.2403E-009,   1.7787E-009,   5.5378E-013,   6.2886E-012,   5.3327E-013,  
455.688,   7.4512E-008,   2.8912E-006,   3.7052E-011,   1.6320E-011,   1.9078E-011,   3.4824E-009,   1.6712E-009,   3.2816E-013,   6.3930E-012,   2.2829E-013,  
461.656,   7.0302E-008,   2.8724E-006,   1.3324E-011,   1.5907E-011,   1.9442E-011,   3.1689E-009,   1.8157E-009,   2.8536E-013,   6.9922E-012,   5.7875E-013,  
467.672,   6.9526E-008,   2.8621E-006,   3.6975E-011,   1.6416E-011,   1.9329E-011,   3.2069E-009,   1.5808E-009,   1.6587E-013,   6.9592E-012,   9.3723E-013,  
473.672,   7.0007E-008,   2.8687E-006,   3.6849E-011,   1.6712E-011,   1.9933E-011,   3.1391E-009,   1.7859E-009,   2.8090E-013,   7.2802E-012,   3.8524E-013,  
479.688,   7.3304E-008,   2.8750E-006,   3.7203E-011,   1.6134E-011,   1.9216E-011,   3.0343E-009,   1.8699E-009,   5.2167E-013,   6.6337E-012,   1.2217E-013,  
485.719,   6.6269E-008,   2.8624E-006,   3.5723E-011,   1.4264E-011,   2.0777E-011,   3.1373E-009,   1.8771E-009,   3.2103E-013,   5.5663E-012,   2.5147E-013,  
491.719,   7.0981E-008,   2.8632E-006,   3.5762E-011,   1.6701E-011,   1.9701E-011,   3.2918E-009,   1.8166E-009,   1.6765E-013,   8.4957E-012,   6.9735E-013,  
497.735,   6.9147E-008,   2.8600E-006,   3.8272E-011,   1.5696E-011,   1.8822E-011,   3.2313E-009,   1.7055E-009,   3.1746E-013,   7.6869E-012,   3.5759E-013,  
503.766,   7.2117E-008,   2.8676E-006,   1.5312E-011,   1.5925E-011,   1.9913E-011,   3.2358E-009,   2.0361E-009,   3.7097E-013,   5.7750E-012,   2.0867E-013,  
509.781,   7.3448E-008,   2.8636E-006,   3.5633E-011,   1.7027E-011,   1.9360E-011,   3.5122E-009,   1.9648E-009,   2.9517E-013,   8.6758E-012,   3.1835E-013,  
